Scaling,Alg,Acc Cv,Acc Te,Sp,Se,MCC,F1,AUC-ROC,AUPR
MinMax,DT,"(65.84, 41)","(63.15, 26)","(69.71, 9)","(80.5, 40)","(23.04, 23)","(73.02, 26)","(60.94, 23)","(80.46, 21)"
MinMax,GB,"(68.0, 36)","(68.37, 45)","(77.22, 41)","(75.12, 45)","(33.38, 40)","(74.94, 45)","(67.21, 40)","(82.8, 37)"
MinMax,LR,"(66.22, 18)","(66.17, 24)","(66.95, 16)","(71.78, 24)","(29.69, 32)","(72.54, 24)","(64.88, 32)","(82.05, 32)"
MinMax,RF,"(67.39, 44)","(66.36, 28)","(71.28, 42)","(72.73, 38)","(31.54, 37)","(72.86, 12)","(66.19, 37)","(82.28, 37)"
MinMax,SVM,"(67.52, 18)","(66.67, 26)","(69.1, 16)","(74.5, 8)","(30.47, 18)","(73.22, 25)","(65.33, 18)","(82.05, 18)"
Standard,DT,"(65.86, 41)","(62.75, 29)","(71.03, 20)","(79.56, 22)","(21.85, 23)","(72.51, 29)","(60.65, 23)","(80.1, 29)"
Standard,GB,"(67.75, 41)","(67.87, 25)","(72.33, 43)","(74.63, 25)","(33.75, 38)","(74.43, 25)","(67.13, 41)","(82.94, 38)"
Standard,LR,"(66.71, 28)","(65.56, 31)","(66.11, 42)","(72.09, 14)","(29.06, 28)","(72.25, 14)","(64.72, 28)","(81.59, 31)"
Standard,RF,"(67.27, 44)","(68.87, 40)","(72.07, 41)","(73.52, 40)","(35.01, 40)","(74.59, 40)","(67.24, 40)","(83.55, 40)"
Standard,SVM,"(66.72, 17)","(66.27, 34)","(67.22, 26)","(74.36, 34)","(28.54, 17)","(73.22, 34)","(64.38, 19)","(81.8, 17)"
